Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Christian Villanueva,Padres,3B,5.60%,32.60%,0.17,0.333,0.393,0.765,1.159,0.432,0.4,0.405,0.79,17.30%,36.50%,46.20%,12.50%,41.70%,26.30%,0.00%,11738
Kris Bryant,Cubs,3B,14.30%,18.70%,0.77,0.298,0.415,0.54,0.956,0.242,4.4,0.338,0.92,21.70%,37.50%,40.80%,5.20%,16.00%,11.80%,0.00%,15429
Justin Turner,Dodgers,3B,10.90%,10.30%,1.05,0.322,0.415,0.53,0.945,0.208,3.3,0.326,0.66,20.80%,31.40%,47.80%,3.10%,10.80%,3.90%,0.00%,5235
Nolan Arenado,Rockies,3B,9.60%,15.80%,0.61,0.307,0.374,0.576,0.95,0.269,4.3,0.322,0.75,22.10%,33.40%,44.50%,10.20%,15.60%,8.20%,0.00%,9777
Josh Donaldson,Blue Jays,3B,15.30%,22.70%,0.67,0.267,0.382,0.549,0.931,0.282,2,0.288,0.99,16.60%,41.50%,41.80%,10.60%,25.50%,5.70%,100.00%,5038
Jose Ramirez,Indians,3B,8.70%,10.30%,0.85,0.308,0.369,0.569,0.938,0.261,6,0.304,0.95,20.40%,38.80%,40.90%,9.40%,14.20%,5.00%,0.00%,13510
Anthony Rendon,Nationals,3B,13.50%,13.50%,1,0.3,0.399,0.521,0.92,0.222,3,0.315,0.71,19.20%,33.60%,47.20%,9.30%,11.50%,6.20%,100.00%,12861
Adrian Beltre,Rangers,3B,9.90%,13.80%,0.72,0.307,0.376,0.511,0.887,0.204,2.2,0.321,1.2,22.80%,42.20%,35.00%,11.40%,14.60%,2.70%,0.00%,639
Colin Moran,- - -,3B,9.20%,13.80%,0.67,0.31,0.369,0.483,0.852,0.172,4.1,0.333,1.11,24.00%,40.00%,36.00%,5.60%,11.10%,5.00%,0.00%,16909
Miguel Sano,Twins,3B,11.10%,36.80%,0.3,0.263,0.35,0.511,0.86,0.248,2.9,0.38,0.95,20.10%,38.80%,41.00%,7.10%,27.70%,4.70%,0.00%,12164
Eugenio Suarez,Reds,3B,13.40%,23.00%,0.58,0.262,0.37,0.469,0.839,0.207,3.3,0.309,1.05,24.00%,38.80%,37.10%,10.50%,18.30%,8.10%,0.00%,12552
Tommy La Stella,Cubs,3B,12.10%,12.70%,0.95,0.288,0.38,0.459,0.839,0.171,1.1,0.306,1.23,23.80%,42.10%,34.10%,11.60%,11.60%,5.70%,0.00%,12371
Joey Gallo,Rangers,3B,12.90%,35.80%,0.36,0.209,0.321,0.528,0.848,0.319,5.1,0.242,0.51,17.00%,27.90%,55.10%,11.90%,28.00%,3.50%,0.00%,14128
Travis Shaw,Brewers,3B,9.40%,22.80%,0.41,0.273,0.344,0.504,0.848,0.232,4.4,0.314,1.14,19.70%,42.80%,37.50%,9.40%,19.30%,3.60%,0.00%,11982
Mike Moustakas,Royals,3B,5.40%,15.60%,0.35,0.281,0.321,0.534,0.855,0.253,1.4,0.275,0.75,19.50%,34.60%,45.90%,16.80%,17.60%,6.10%,100.00%,4892
Tzu-Wei Lin,Red Sox,3B,13.60%,24.70%,0.55,0.304,0.4,0.391,0.791,0.087,5,0.429,1.54,31.30%,41.70%,27.10%,7.70%,0.00%,15.00%,50.00%,14678
Matt Chapman,Athletics,3B,10.50%,26.20%,0.4,0.249,0.332,0.497,0.829,0.249,3.8,0.297,0.71,17.20%,34.40%,48.40%,17.40%,15.70%,4.70%,0.00%,16505
Jake Lamb,Diamondbacks,3B,13.60%,24.10%,0.56,0.249,0.357,0.482,0.839,0.233,4.2,0.291,1.07,20.00%,41.40%,38.70%,5.80%,19.40%,3.60%,0.00%,13329
Miguel Andujar,Yankees,3B,5.90%,11.80%,0.5,0.277,0.314,0.511,0.824,0.234,6.7,0.293,1,14.30%,42.90%,42.90%,27.80%,5.60%,0.00%,0.00%,15878
Asdrubal Cabrera,Mets,3B,8.90%,15.30%,0.58,0.287,0.354,0.455,0.809,0.168,2.5,0.314,1.16,20.00%,43.00%,37.00%,6.00%,10.80%,7.70%,25.00%,4962
Jedd Gyorko,Cardinals,3B,9.80%,21.50%,0.46,0.275,0.346,0.475,0.82,0.199,4,0.315,1.02,20.10%,40.40%,39.50%,9.10%,15.20%,5.20%,0.00%,10816
Scott Kingery,Phillies,3B,8.20%,23.00%,0.36,0.255,0.311,0.491,0.802,0.236,6.4,0.3,0.83,21.40%,35.70%,42.90%,22.20%,11.10%,6.70%,0.00%,17975
Alex Bregman,Astros,3B,9.30%,15.00%,0.62,0.276,0.348,0.455,0.804,0.179,5.4,0.302,0.95,21.80%,38.10%,40.00%,17.10%,9.50%,6.00%,0.00%,17678
