Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Eduardo Nunez,- - -,3B,4.00%,10.80%,0.37,0.308,0.339,0.462,0.801,0.154,4.7,0.326,1.73,17.20%,52.50%,30.30%,12.90%,10.10%,11.60%,75.00%,6848
Todd Frazier,- - -,3B,14.90%,22.00%,0.68,0.22,0.352,0.435,0.786,0.214,3.1,0.24,0.72,19.40%,33.70%,46.90%,17.40%,15.80%,6.10%,0.00%,785
Rafael Devers,Red Sox,3B,8.10%,23.30%,0.35,0.279,0.337,0.473,0.81,0.194,2.8,0.335,1.36,16.70%,48.10%,35.20%,13.50%,16.20%,6.90%,50.00%,17350
Nicholas Castellanos,Tigers,3B,6.60%,21.20%,0.31,0.274,0.325,0.483,0.807,0.209,4.7,0.318,1.01,24.80%,37.70%,37.50%,1.50%,13.30%,7.10%,0.00%,11737
Manny Machado,Orioles,3B,7.80%,16.70%,0.47,0.264,0.319,0.476,0.795,0.212,3.2,0.273,0.94,15.80%,40.70%,43.50%,14.00%,14.40%,8.10%,50.00%,11493
Jeimer Candelario,- - -,3B,9.10%,22.60%,0.4,0.263,0.341,0.419,0.761,0.156,2.9,0.333,1.21,17.30%,45.30%,37.40%,7.70%,7.70%,7.90%,0.00%,13621
Wilmer Flores,Mets,3B,5.10%,14.40%,0.35,0.267,0.306,0.488,0.793,0.221,2.3,0.264,0.8,19.30%,35.80%,44.90%,11.30%,14.10%,3.50%,0.00%,5827
Johan Camargo,Braves,3B,4.70%,19.90%,0.24,0.299,0.331,0.452,0.783,0.154,3,0.364,1.54,21.50%,47.60%,30.90%,15.30%,6.80%,7.70%,0.00%,14950
Josh Harrison,Pirates,3B,5.40%,16.30%,0.33,0.271,0.338,0.424,0.761,0.153,5.1,0.302,0.89,23.10%,36.30%,40.60%,7.30%,9.50%,7.50%,44.40%,8202
Kyle Seager,Mariners,3B,8.70%,16.90%,0.52,0.251,0.322,0.454,0.776,0.203,2.2,0.263,0.62,17.70%,31.50%,50.90%,5.70%,11.50%,6.20%,50.00%,9785
David Freese,Pirates,3B,11.40%,23.40%,0.49,0.262,0.366,0.379,0.745,0.117,1,0.333,2.4,19.90%,56.60%,23.50%,3.90%,15.60%,8.60%,0.00%,9549
T.J. Rivera,Mets,3B,3.90%,13.90%,0.28,0.29,0.33,0.43,0.76,0.14,3.6,0.318,0.89,25.00%,35.30%,39.70%,9.60%,6.80%,4.60%,0.00%,12495
Greg Garcia,Cardinals,3B,12.60%,22.00%,0.57,0.257,0.365,0.358,0.724,0.102,3.7,0.333,2.02,29.50%,47.20%,23.30%,6.70%,8.90%,4.40%,22.20%,10951
Brian Anderson,Marlins,3B,12.40%,22.40%,0.55,0.255,0.359,0.366,0.724,0.11,3.2,0.336,2,22.20%,51.90%,25.90%,17.90%,3.60%,1.80%,0.00%,18289
Ryan Flaherty,- - -,3B,11.10%,20.20%,0.55,0.291,0.384,0.349,0.733,0.058,3.6,0.379,2.57,21.90%,56.30%,21.90%,14.30%,0.00%,2.80%,100.00%,7888
Chase Headley,- - -,3B,10.30%,23.40%,0.44,0.263,0.346,0.391,0.738,0.128,4.3,0.334,1.36,24.20%,43.70%,32.10%,6.30%,9.40%,6.40%,80.00%,4720
Derek Dietrich,Marlins,3B,7.10%,21.20%,0.34,0.253,0.333,0.413,0.746,0.16,3.8,0.303,0.93,23.00%,37.00%,40.00%,8.10%,9.50%,8.00%,0.00%,10542
Eduardo Escobar,Twins,3B,6.50%,20.30%,0.32,0.255,0.307,0.451,0.758,0.196,5.3,0.283,0.73,21.30%,33.30%,45.40%,6.80%,12.40%,3.80%,0.00%,6153
Yunel Escobar,Angels,3B,7.60%,13.40%,0.57,0.274,0.333,0.397,0.73,0.123,2.6,0.305,2.42,17.70%,58.20%,24.10%,2.80%,9.70%,6.90%,0.00%,4191
Yolmer Sanchez,White Sox,3B,6.30%,21.00%,0.3,0.267,0.318,0.416,0.734,0.149,5.6,0.321,1.4,21.50%,45.70%,32.80%,6.00%,9.70%,5.30%,30.00%,11602
Luis Valbuena,Angels,3B,11.10%,25.90%,0.43,0.211,0.298,0.437,0.735,0.226,1.4,0.227,0.77,15.30%,36.80%,47.90%,13.00%,18.10%,4.70%,0.00%,4969
Ryan Schimpf,- - -,3B,14.20%,35.80%,0.4,0.159,0.289,0.435,0.725,0.276,1.2,0.143,0.32,16.20%,20.20%,63.60%,19.00%,23.80%,5.00%,0.00%,9953
Cory Spangenberg,Padres,3B,6.80%,26.80%,0.25,0.257,0.315,0.4,0.716,0.144,5,0.333,1.74,23.40%,48.60%,28.00%,9.80%,16.30%,7.50%,36.80%,12294
J.D. Davis,Astros,3B,8.30%,30.20%,0.28,0.233,0.302,0.419,0.721,0.186,2.2,0.296,2.46,22.40%,55.20%,22.40%,0.00%,30.80%,12.50%,0.00%,16219
Evan Longoria,- - -,3B,6.40%,17.30%,0.37,0.256,0.306,0.423,0.729,0.166,3.6,0.281,1.19,19.40%,43.80%,36.80%,13.80%,10.80%,5.00%,0.00%,9368
Matt Davidson,White Sox,3B,5.80%,36.90%,0.16,0.218,0.271,0.462,0.732,0.244,1.9,0.277,0.8,17.10%,36.80%,46.10%,8.50%,24.00%,1.90%,0.00%,7226
Yandy Diaz,Indians,3B,11.70%,19.60%,0.6,0.263,0.352,0.327,0.679,0.064,5.4,0.336,3.13,22.10%,59.00%,18.90%,8.70%,0.00%,4.20%,0.00%,16578
Drew Robinson,Rangers,3B,11.90%,38.60%,0.31,0.213,0.307,0.387,0.694,0.174,1.8,0.325,1.27,20.90%,44.20%,34.90%,20.00%,23.30%,2.60%,100.00%,11761
Kaleb Cowart,Angels,3B,8.50%,23.90%,0.36,0.225,0.313,0.382,0.695,0.157,7.1,0.282,1.36,19.20%,46.60%,34.20%,4.00%,12.00%,8.80%,0.00%,11494
Pat Valaika,Rockies,3B,3.90%,26.40%,0.15,0.227,0.257,0.463,0.72,0.236,1.6,0.252,0.67,16.40%,33.60%,50.00%,9.20%,17.10%,2.00%,11.10%,14885
Logan Forsythe,Dodgers,3B,14.80%,23.60%,0.63,0.219,0.338,0.322,0.66,0.103,2.7,0.283,1.28,21.50%,44.10%,34.30%,6.90%,6.90%,6.10%,0.00%,7185
J.P. Crawford,Phillies,3B,14.30%,24.10%,0.59,0.207,0.321,0.333,0.654,0.126,4.8,0.269,0.79,23.80%,33.80%,42.50%,8.80%,5.90%,7.40%,0.00%,15491
Maikel Franco,Phillies,3B,6.70%,15.40%,0.43,0.23,0.281,0.412,0.693,0.182,2,0.234,1.2,17.10%,45.10%,37.70%,15.70%,13.10%,3.40%,0.00%,12179
Matt Duffy,Rays,3B,4.80%,20.60%,0.23,0.267,0.302,0.35,0.652,0.083,3.9,0.326,1.56,12.80%,53.20%,34.00%,6.30%,6.30%,16.00%,0.00%,13836
Stephen Drew,Nationals,3B,7.50%,19.80%,0.38,0.253,0.302,0.358,0.66,0.105,1.1,0.303,0.74,20.80%,33.80%,45.50%,5.70%,2.90%,7.70%,0.00%,4251
Kelby Tomlinson,Giants,3B,10.30%,21.10%,0.49,0.255,0.329,0.307,0.636,0.052,6.8,0.325,2.25,24.50%,52.30%,23.20%,8.30%,2.80%,11.10%,45.50%,13005
Adrian Sanchez,Nationals,3B,1.30%,33.30%,0.04,0.268,0.288,0.366,0.654,0.099,2.7,0.413,2,33.30%,44.40%,22.20%,10.00%,0.00%,5.00%,0.00%,11338
Marco Hernandez,Red Sox,3B,1.70%,25.00%,0.07,0.276,0.3,0.328,0.628,0.052,2.9,0.372,2.44,26.20%,52.40%,21.40%,0.00%,0.00%,13.60%,0.00%,13154
Martin Prado,Marlins,3B,4.10%,15.00%,0.27,0.25,0.279,0.357,0.636,0.107,1.3,0.282,1.57,20.20%,48.70%,31.10%,5.40%,5.40%,1.70%,0.00%,3312
Matt Reynolds,- - -,3B,10.70%,28.60%,0.38,0.221,0.317,0.287,0.603,0.066,4.3,0.321,1.77,11.10%,56.80%,32.10%,3.80%,3.80%,13.00%,0.00%,13788
Pablo Sandoval,- - -,3B,5.70%,19.40%,0.29,0.219,0.264,0.371,0.635,0.151,1.5,0.239,1.28,16.10%,47.10%,36.80%,17.10%,12.20%,3.80%,0.00%,5409
Cliff Pennington,- - -,3B,8.30%,28.50%,0.29,0.242,0.303,0.312,0.615,0.07,3.2,0.331,1.07,19.50%,41.60%,38.90%,12.10%,5.20%,6.50%,33.30%,3395
Adonis Garcia,Braves,3B,3.80%,12.60%,0.3,0.237,0.273,0.347,0.62,0.11,4.6,0.247,1.86,16.00%,54.70%,29.30%,6.80%,11.40%,8.50%,100.00%,13777
Cheslor Cuthbert,Royals,3B,7.00%,23.00%,0.3,0.231,0.29,0.308,0.598,0.077,1.2,0.294,1.2,20.30%,43.50%,36.20%,10.00%,4.00%,5.00%,0.00%,10473
Darwin Barney,Blue Jays,3B,5.00%,17.70%,0.28,0.232,0.275,0.327,0.602,0.095,3.9,0.27,1.43,20.70%,46.70%,32.60%,9.10%,6.80%,8.70%,12.50%,2430
Rio Ruiz,Braves,3B,11.00%,23.70%,0.46,0.193,0.283,0.307,0.59,0.113,3.6,0.231,1.85,13.40%,56.30%,30.40%,0.00%,11.80%,1.60%,0.00%,14103
Chris Coghlan,Blue Jays,3B,10.20%,25.00%,0.41,0.2,0.299,0.267,0.566,0.067,1.1,0.264,1.22,23.10%,42.30%,34.60%,16.70%,5.60%,0.00%,33.30%,6878
Trevor Plouffe,- - -,3B,8.90%,28.10%,0.32,0.198,0.272,0.318,0.59,0.12,2,0.251,1.44,20.40%,46.90%,32.70%,17.20%,14.10%,4.30%,0.00%,7462
Ramon Torres,Royals,3B,5.10%,15.20%,0.33,0.243,0.291,0.284,0.575,0.041,4.4,0.29,1.82,22.60%,50.00%,27.40%,29.40%,0.00%,3.20%,0.00%,14113
Josh Rutledge,Red Sox,3B,7.60%,26.30%,0.29,0.224,0.297,0.262,0.558,0.037,5,0.316,2.65,18.40%,59.20%,22.40%,5.90%,0.00%,13.30%,0.00%,11167
Deven Marrero,- - -,3B,5.70%,31.10%,0.18,0.209,0.252,0.319,0.572,0.11,6.1,0.288,1.97,23.40%,50.80%,25.80%,3.10%,12.50%,9.50%,37.50%,13325
Andres Blanco,Phillies,3B,8.30%,23.60%,0.35,0.192,0.257,0.292,0.549,0.1,2.5,0.232,1.48,15.50%,50.50%,34.00%,9.10%,9.10%,0.00%,0.00%,1907
Giovanny Urshela,Indians,3B,4.80%,13.30%,0.36,0.224,0.262,0.288,0.551,0.064,1.5,0.256,1.45,23.10%,45.50%,31.30%,9.50%,2.40%,4.90%,100.00%,10681
Christian Arroyo,Giants,3B,5.90%,23.70%,0.25,0.192,0.244,0.304,0.548,0.112,1.9,0.231,2.85,18.10%,60.60%,21.30%,10.00%,15.00%,3.50%,0.00%,16434
Aaron Hill,Giants,3B,13.80%,16.30%,0.85,0.132,0.25,0.235,0.485,0.103,3.5,0.145,0.61,19.60%,30.40%,50.00%,25.00%,3.60%,11.80%,0.00%,6104
Tyler Saladino,White Sox,3B,7.90%,24.10%,0.33,0.18,0.254,0.234,0.488,0.054,4.8,0.246,1.23,17.00%,45.70%,37.20%,12.90%,0.00%,3.50%,0.00%,10807
Ryder Jones,Giants,3B,6.10%,31.70%,0.19,0.173,0.244,0.273,0.517,0.1,5.3,0.25,0.8,14.40%,38.10%,47.40%,17.40%,4.30%,8.10%,100.00%,15982
Conor Gillaspie,Giants,3B,5.70%,11.50%,0.5,0.163,0.218,0.288,0.506,0.125,1.9,0.159,1.33,11.30%,50.70%,38.00%,14.80%,7.40%,5.60%,0.00%,9009
Jhonny Peralta,Cardinals,3B,6.90%,22.40%,0.31,0.204,0.259,0.204,0.462,0,0.8,0.268,1.5,26.80%,43.90%,29.30%,0.00%,0.00%,5.60%,0.00%,1738
Jae-Gyun Hwang,Giants,3B,8.80%,26.30%,0.33,0.154,0.228,0.231,0.459,0.077,0.1,0.194,1.14,18.90%,43.20%,37.80%,14.30%,7.10%,6.30%,0.00%,19369
Ryan McMahon,Rockies,3B,13.80%,36.20%,0.38,0.12,0.241,0.14,0.381,0.02,0.9,0.207,4.2,10.30%,72.40%,17.20%,0.00%,0.00%,0.00%,0.00%,15112
Christian Colon,- - -,3B,8.80%,17.50%,0.5,0.16,0.236,0.18,0.416,0.02,1.4,0.2,2,7.70%,61.50%,30.80%,25.00%,0.00%,8.30%,33.30%,11145
Phil Gosselin,- - -,3B,6.70%,26.70%,0.25,0.143,0.2,0.214,0.414,0.071,3.1,0.184,1.86,18.40%,53.10%,28.60%,7.10%,7.10%,3.80%,100.00%,10953
Pete Kozma,- - -,3B,5.90%,39.20%,0.15,0.111,0.2,0.178,0.378,0.067,3.8,0.167,0.67,20.00%,32.00%,48.00%,25.00%,8.30%,0.00%,100.00%,2539
