Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Cliff Pennington,- - -,2B,8.30%,28.50%,0.29,0.242,0.303,0.312,0.615,0.07,3.2,0.331,1.07,19.50%,41.60%,38.90%,12.10%,5.20%,6.50%,33.30%,3395
Rougned Odor,Rangers,2B,5.20%,24.40%,0.21,0.204,0.255,0.39,0.645,0.186,5.3,0.226,0.98,15.70%,41.70%,42.60%,15.50%,15.00%,5.10%,50.00%,12282
Dixon Machado,Tigers,2B,5.10%,17.90%,0.29,0.249,0.289,0.327,0.616,0.078,3,0.301,1.9,19.30%,52.80%,27.80%,12.20%,2.00%,7.50%,0.00%,11472
Jose Peraza,Reds,2B,3.60%,13.90%,0.26,0.256,0.292,0.324,0.615,0.068,5.9,0.292,1.5,21.60%,47.10%,31.40%,12.50%,3.50%,8.80%,35.70%,13593
Alexi Amarista,Rockies,2B,4.00%,21.60%,0.18,0.238,0.269,0.351,0.62,0.113,3.8,0.291,1.54,23.80%,46.20%,30.00%,2.60%,7.70%,3.30%,0.00%,9063
Brock Holt,Red Sox,2B,12.10%,19.20%,0.63,0.201,0.308,0.26,0.568,0.059,3.7,0.25,2.11,17.40%,56.10%,26.50%,5.70%,2.90%,12.20%,100.00%,9345
Darwin Barney,Blue Jays,2B,5.00%,17.70%,0.28,0.232,0.275,0.327,0.602,0.095,3.9,0.27,1.43,20.70%,46.70%,32.60%,9.10%,6.80%,8.70%,12.50%,2430
Alen Hanson,- - -,2B,5.10%,22.20%,0.23,0.221,0.262,0.346,0.607,0.124,8.2,0.268,1.51,15.90%,50.60%,33.50%,9.10%,7.30%,8.40%,40.00%,12926
Franklin Barreto,Athletics,2B,6.60%,43.40%,0.15,0.197,0.25,0.352,0.602,0.155,8.3,0.333,0.58,21.10%,28.90%,50.00%,5.30%,10.50%,27.30%,0.00%,15519
Ramon Torres,Royals,2B,5.10%,15.20%,0.33,0.243,0.291,0.284,0.575,0.041,4.4,0.29,1.82,22.60%,50.00%,27.40%,29.40%,0.00%,3.20%,0.00%,14113
Ty Kelly,- - -,2B,7.60%,23.80%,0.32,0.191,0.257,0.337,0.595,0.146,2,0.231,1.12,20.90%,41.80%,37.30%,12.00%,8.00%,3.60%,25.00%,7740
Josh Rutledge,Red Sox,2B,7.60%,26.30%,0.29,0.224,0.297,0.262,0.558,0.037,5,0.316,2.65,18.40%,59.20%,22.40%,5.90%,0.00%,13.30%,0.00%,11167
Nick Franklin,- - -,2B,8.40%,18.50%,0.45,0.179,0.269,0.283,0.552,0.104,5.4,0.207,1.56,22.90%,47.00%,30.10%,12.00%,8.00%,5.10%,0.00%,10166
Andres Blanco,Phillies,2B,8.30%,23.60%,0.35,0.192,0.257,0.292,0.549,0.1,2.5,0.232,1.48,15.50%,50.50%,34.00%,9.10%,9.10%,0.00%,0.00%,1907
Gift Ngoepe,- - -,2B,11.30%,45.00%,0.25,0.186,0.278,0.243,0.521,0.057,5.1,0.382,4.4,20.60%,64.70%,14.70%,20.00%,0.00%,13.60%,100.00%,10340
Danny Espinosa,- - -,2B,7.10%,36.90%,0.19,0.173,0.245,0.278,0.523,0.105,3.5,0.261,0.97,13.90%,42.40%,43.70%,13.60%,9.10%,6.30%,33.30%,9219
Gavin Cecchini,Mets,2B,4.90%,23.20%,0.21,0.208,0.256,0.273,0.529,0.065,1.2,0.263,1.3,20.70%,44.80%,34.50%,25.00%,5.00%,0.00%,0.00%,17005
Aaron Hill,Giants,2B,13.80%,16.30%,0.85,0.132,0.25,0.235,0.485,0.103,3.5,0.145,0.61,19.60%,30.40%,50.00%,25.00%,3.60%,11.80%,0.00%,6104
Tyler Saladino,White Sox,2B,7.90%,24.10%,0.33,0.18,0.254,0.234,0.488,0.054,4.8,0.246,1.23,17.00%,45.70%,37.20%,12.90%,0.00%,3.50%,0.00%,10807
Rob Refsnyder,- - -,2B,12.20%,20.30%,0.6,0.16,0.27,0.198,0.469,0.038,5.9,0.21,1.96,12.30%,58.00%,29.60%,4.20%,0.00%,6.40%,0.00%,13770
Raul Mondesi,Royals,2B,5.00%,36.70%,0.14,0.17,0.214,0.245,0.46,0.075,5,0.267,1.11,34.50%,34.50%,31.00%,22.20%,11.10%,20.00%,0.00%,13769
Christian Colon,- - -,2B,8.80%,17.50%,0.5,0.16,0.236,0.18,0.416,0.02,1.4,0.2,2,7.70%,61.50%,30.80%,25.00%,0.00%,8.30%,33.30%,11145
Arismendy Alcantara,Reds,2B,1.90%,35.20%,0.05,0.171,0.187,0.248,0.435,0.076,7.4,0.258,2.05,12.10%,59.10%,28.80%,15.80%,5.30%,2.60%,50.00%,10711
Tyler Wade,Yankees,2B,8.20%,30.60%,0.27,0.133,0.204,0.2,0.404,0.067,3.6,0.2,1.88,15.50%,55.20%,29.30%,5.90%,0.00%,6.30%,0.00%,15730
Luis Sardinas,- - -,2B,8.80%,19.30%,0.45,0.154,0.228,0.154,0.382,0,3.7,0.195,3.13,19.50%,61.00%,19.50%,0.00%,0.00%,20.00%,0.00%,13153
Phil Gosselin,- - -,2B,6.70%,26.70%,0.25,0.143,0.2,0.214,0.414,0.071,3.1,0.184,1.86,18.40%,53.10%,28.60%,7.10%,7.10%,3.80%,100.00%,10953
Mike Freeman,- - -,2B,9.10%,28.80%,0.32,0.1,0.182,0.183,0.365,0.083,2.4,0.125,1.33,12.50%,50.00%,37.50%,6.70%,6.70%,0.00%,100.00%,11241
