Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Jose Altuve,Astros,2B,8.60%,12.70%,0.68,0.342,0.406,0.526,0.932,0.183,6,0.369,1.42,21.50%,46.10%,32.40%,8.80%,13.20%,12.40%,77.80%,5417
Jose Ramirez,Indians,2B,8.70%,10.30%,0.85,0.308,0.369,0.569,0.938,0.261,6,0.304,0.95,20.40%,38.80%,40.90%,9.40%,14.20%,5.00%,0.00%,13510
Daniel Murphy,Nationals,2B,8.80%,13.00%,0.68,0.322,0.384,0.543,0.928,0.221,3.8,0.341,0.86,27.60%,33.50%,38.90%,13.40%,12.80%,1.30%,0.00%,4316
Austin Barnes,Dodgers,2B,15.30%,16.70%,0.92,0.285,0.406,0.469,0.875,0.184,4.8,0.328,1.66,26.20%,46.10%,27.70%,7.50%,15.10%,4.50%,0.00%,12158
Brian Dozier,Twins,2B,11.20%,19.60%,0.57,0.273,0.361,0.505,0.866,0.232,5.2,0.299,0.9,18.40%,38.80%,42.80%,13.10%,17.20%,9.00%,50.00%,9810
Ozzie Albies,Braves,2B,7.20%,15.00%,0.48,0.292,0.35,0.507,0.857,0.215,7.4,0.316,0.96,19.20%,39.60%,41.30%,5.10%,11.10%,9.50%,25.00%,16556
Tommy La Stella,Cubs,2B,12.10%,12.70%,0.95,0.288,0.38,0.459,0.839,0.171,1.1,0.306,1.23,23.80%,42.10%,34.10%,11.60%,11.60%,5.70%,0.00%,12371
Howie Kendrick,- - -,2B,6.00%,20.20%,0.3,0.312,0.363,0.479,0.842,0.167,5.2,0.373,2.83,22.10%,57.50%,20.40%,3.40%,19.00%,5.50%,100.00%,4229
Joey Wendle,- - -,2B,12.50%,20.30%,0.62,0.259,0.359,0.481,0.841,0.222,6.8,0.3,2.08,11.90%,59.50%,28.60%,25.00%,16.70%,0.00%,0.00%,13853
Scooter Gennett,Reds,2B,5.80%,22.50%,0.26,0.294,0.339,0.508,0.847,0.215,4,0.341,1.13,21.60%,41.50%,36.80%,7.40%,18.20%,5.40%,66.70%,10339
Jed Lowrie,Athletics,2B,11.00%,15.80%,0.7,0.285,0.365,0.465,0.83,0.179,2.6,0.322,0.72,26.30%,30.90%,42.80%,7.10%,8.40%,4.30%,100.00%,4418
Tzu-Wei Lin,Red Sox,2B,13.60%,24.70%,0.55,0.304,0.4,0.391,0.791,0.087,5,0.429,1.54,31.30%,41.70%,27.10%,7.70%,0.00%,15.00%,50.00%,14678
Cesar Hernandez,Phillies,2B,11.70%,18.50%,0.63,0.293,0.38,0.422,0.802,0.129,6.2,0.356,2.12,21.80%,53.10%,25.10%,3.70%,10.20%,11.80%,68.80%,10556
DJ LeMahieu,Rockies,2B,9.00%,13.20%,0.68,0.309,0.375,0.428,0.802,0.119,4,0.345,2.66,23.60%,55.60%,20.90%,4.90%,10.70%,4.30%,20.00%,9874
Asdrubal Cabrera,Mets,2B,8.90%,15.30%,0.58,0.287,0.354,0.455,0.809,0.168,2.5,0.314,1.16,20.00%,43.00%,37.00%,6.00%,10.80%,7.70%,25.00%,4962
Jonathan Schoop,Orioles,2B,4.90%,21.80%,0.22,0.287,0.332,0.489,0.821,0.202,2.1,0.329,1.13,21.00%,42.00%,37.10%,16.80%,16.80%,7.70%,100.00%,11265
Eduardo Nunez,- - -,2B,4.00%,10.80%,0.37,0.308,0.339,0.462,0.801,0.154,4.7,0.326,1.73,17.20%,52.50%,30.30%,12.90%,10.10%,11.60%,75.00%,6848
Robinson Cano,Mariners,2B,8.60%,13.50%,0.64,0.284,0.351,0.455,0.805,0.17,2,0.302,1.67,19.60%,50.30%,30.20%,4.80%,14.50%,1.80%,0.00%,3269
Ian Happ,Cubs,2B,9.20%,33.00%,0.28,0.247,0.321,0.496,0.817,0.249,5.5,0.321,0.94,20.50%,38.40%,41.10%,3.70%,24.10%,7.90%,0.00%,17919
Javier Baez,Cubs,2B,6.30%,27.70%,0.23,0.269,0.319,0.498,0.817,0.229,6,0.332,1.27,16.30%,46.80%,36.80%,10.50%,21.10%,8.90%,20.00%,12979
Joe Panik,Giants,2B,8.10%,9.20%,0.88,0.288,0.35,0.427,0.777,0.139,3.9,0.299,1.33,22.20%,44.40%,33.50%,7.60%,7.60%,6.60%,25.00%,11936
Starlin Castro,- - -,2B,5.40%,19.40%,0.28,0.299,0.339,0.436,0.775,0.137,3.7,0.348,1.86,19.80%,52.20%,28.00%,10.40%,13.90%,11.20%,0.00%,4579
Dustin Pedroia,Red Sox,2B,10.60%,10.40%,1.02,0.293,0.369,0.392,0.76,0.099,2.2,0.315,1.69,22.40%,48.80%,28.80%,13.50%,6.70%,8.00%,0.00%,8370
Neil Walker,- - -,2B,11.90%,17.00%,0.7,0.254,0.349,0.41,0.759,0.156,2.8,0.286,0.92,20.50%,38.10%,41.50%,8.90%,9.60%,5.20%,50.00%,7539
Josh Harrison,Pirates,2B,5.40%,16.30%,0.33,0.271,0.338,0.424,0.761,0.153,5.1,0.302,0.89,23.10%,36.30%,40.60%,7.30%,9.50%,7.50%,44.40%,8202
Whit Merrifield,Royals,2B,5.00%,14.20%,0.35,0.284,0.325,0.446,0.77,0.161,6.5,0.308,0.95,22.00%,38.00%,40.00%,7.30%,8.70%,11.10%,44.40%,11281
Eric Sogard,Brewers,2B,13.90%,14.20%,0.98,0.26,0.372,0.361,0.733,0.102,3.2,0.303,1.14,29.10%,37.80%,33.00%,9.20%,3.90%,1.10%,44.40%,7927
Yoan Moncada,White Sox,2B,12.80%,34.30%,0.37,0.227,0.334,0.408,0.742,0.18,5.4,0.336,1.22,20.30%,43.80%,35.90%,9.10%,18.20%,4.50%,0.00%,17232
Greg Garcia,Cardinals,2B,12.60%,22.00%,0.57,0.257,0.365,0.358,0.724,0.102,3.7,0.333,2.02,29.50%,47.20%,23.30%,6.70%,8.90%,4.40%,22.20%,10951
Chase Utley,Dodgers,2B,9.90%,15.90%,0.62,0.246,0.338,0.412,0.75,0.167,6,0.275,1.14,19.90%,42.70%,37.40%,7.60%,8.60%,5.80%,0.00%,1679
Brandon Drury,- - -,2B,6.30%,21.50%,0.29,0.265,0.318,0.444,0.762,0.179,2.1,0.317,1.6,22.20%,47.90%,29.90%,10.20%,13.00%,6.40%,0.00%,11615
Ryan Flaherty,- - -,2B,11.10%,20.20%,0.55,0.291,0.384,0.349,0.733,0.058,3.6,0.379,2.57,21.90%,56.30%,21.90%,14.30%,0.00%,2.80%,100.00%,7888
Kolten Wong,Cardinals,2B,10.30%,14.40%,0.71,0.272,0.365,0.386,0.751,0.114,5.2,0.315,1.56,18.70%,49.50%,31.80%,11.80%,3.90%,8.20%,54.50%,12532
Yangervis Solarte,- - -,2B,8.20%,11.90%,0.69,0.258,0.323,0.426,0.749,0.169,2.1,0.259,0.95,16.80%,40.60%,42.60%,17.60%,10.90%,4.30%,0.00%,5352
Adam Frazier,Pirates,2B,7.80%,12.90%,0.6,0.271,0.338,0.394,0.732,0.123,5.5,0.301,1.81,24.10%,48.90%,27.00%,2.90%,6.90%,4.90%,0.00%,15223
Brandon Phillips,- - -,2B,3.50%,12.10%,0.29,0.285,0.319,0.416,0.735,0.131,4.1,0.308,1.75,22.20%,49.50%,28.30%,9.90%,9.20%,5.30%,33.30%,791
Daniel Descalso,Diamondbacks,2B,11.90%,22.30%,0.54,0.227,0.324,0.396,0.72,0.169,5.7,0.272,0.88,18.40%,38.20%,43.40%,7.20%,9.60%,1.80%,0.00%,8392
Yolmer Sanchez,White Sox,2B,6.30%,21.00%,0.3,0.267,0.318,0.416,0.734,0.149,5.6,0.321,1.4,21.50%,45.70%,32.80%,6.00%,9.70%,5.30%,30.00%,11602
Dee Gordon,- - -,2B,3.50%,13.80%,0.26,0.307,0.34,0.376,0.716,0.068,8.3,0.355,2.76,23.30%,56.30%,20.40%,2.50%,2.50%,7.30%,54.30%,8203
Ian Kinsler,- - -,2B,8.70%,13.60%,0.64,0.238,0.312,0.414,0.726,0.176,5.8,0.243,0.71,20.50%,33.10%,46.40%,13.80%,10.30%,2.50%,0.00%,6195
Ben Zobrist,Cubs,2B,11.00%,13.90%,0.79,0.241,0.326,0.383,0.709,0.142,3.5,0.26,1.47,15.90%,50.10%,34.00%,7.30%,9.50%,5.90%,25.00%,7435
Ronald Torreyes,Yankees,2B,3.00%,12.70%,0.24,0.299,0.319,0.384,0.703,0.085,3.5,0.334,1.79,17.90%,52.70%,29.40%,11.50%,3.40%,10.90%,12.50%,11400
Kaleb Cowart,Angels,2B,8.50%,23.90%,0.36,0.225,0.313,0.382,0.695,0.157,7.1,0.282,1.36,19.20%,46.60%,34.20%,4.00%,12.00%,8.80%,0.00%,11494
Daniel Robertson,Rays,2B,13.90%,27.60%,0.51,0.211,0.331,0.333,0.664,0.122,4,0.286,1.31,18.10%,46.40%,35.50%,16.90%,10.20%,9.10%,0.00%,14145
Logan Forsythe,Dodgers,2B,14.80%,23.60%,0.63,0.219,0.338,0.322,0.66,0.103,2.7,0.283,1.28,21.50%,44.10%,34.30%,6.90%,6.90%,6.10%,0.00%,7185
Carlos Asuaje,Padres,2B,8.60%,21.10%,0.41,0.257,0.324,0.348,0.672,0.091,1.5,0.323,1.13,23.20%,40.70%,36.10%,14.60%,4.90%,6.00%,0.00%,15197
Wilmer Difo,Nationals,2B,7.10%,20.90%,0.34,0.272,0.323,0.368,0.692,0.097,6.5,0.338,1.92,24.20%,49.80%,26.00%,6.80%,6.80%,9.30%,21.40%,14320
Brad Miller,Rays,2B,15.10%,27.00%,0.56,0.203,0.325,0.34,0.665,0.137,4.3,0.266,1.22,17.30%,45.40%,37.30%,7.50%,10.80%,7.10%,50.00%,12775
Jason Kipnis,Indians,2B,7.80%,19.60%,0.4,0.223,0.284,0.387,0.672,0.165,3.7,0.252,0.82,18.80%,36.60%,44.60%,11.40%,8.60%,7.80%,0.00%,9776
Jonathan Villar,Brewers,2B,6.50%,30.40%,0.21,0.245,0.293,0.369,0.662,0.124,5.3,0.337,2.79,20.30%,58.70%,21.00%,12.70%,19.00%,10.20%,36.40%,10071
Devon Travis,Blue Jays,2B,3.30%,21.70%,0.15,0.237,0.276,0.386,0.662,0.149,4,0.285,1.2,25.00%,40.90%,34.10%,8.30%,8.30%,5.60%,0.00%,13862
Kelby Tomlinson,Giants,2B,10.30%,21.10%,0.49,0.255,0.329,0.307,0.636,0.052,6.8,0.325,2.25,24.50%,52.30%,23.20%,8.30%,2.80%,11.10%,45.50%,13005
Adrian Sanchez,Nationals,2B,1.30%,33.30%,0.04,0.268,0.288,0.366,0.654,0.099,2.7,0.413,2,33.30%,44.40%,22.20%,10.00%,0.00%,5.00%,0.00%,11338
Erik Gonzalez,Indians,2B,3.30%,32.00%,0.1,0.241,0.264,0.397,0.661,0.155,3.8,0.324,2.59,20.80%,57.10%,22.10%,5.90%,23.50%,13.60%,0.00%,13369
Max Moroff,Pirates,2B,11.30%,31.20%,0.36,0.198,0.3,0.322,0.622,0.124,4.5,0.28,0.88,19.50%,37.70%,42.90%,9.10%,9.10%,3.40%,0.00%,14556
Ryan Goins,- - -,2B,6.70%,22.00%,0.3,0.235,0.284,0.351,0.634,0.116,2.6,0.286,1.46,15.90%,49.80%,34.20%,10.50%,7.90%,2.40%,40.00%,9807
Marco Hernandez,Red Sox,2B,1.70%,25.00%,0.07,0.276,0.3,0.328,0.628,0.052,2.9,0.372,2.44,26.20%,52.40%,21.40%,0.00%,0.00%,13.60%,0.00%,13154
