Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Odrisamer Despaigne,Marlins,P,0.00%,26.10%,0,0.136,0.136,0.136,0.273,0,0.1,0.188,12,14.30%,85.70%,0.00%,0.00%,0.00%,0.00%,0.00%,16017
Eddie Butler,Cubs,P,9.10%,27.30%,0.33,0.059,0.158,0.059,0.217,0,0.1,0.091,2.67,0.00%,72.70%,27.30%,0.00%,0.00%,0.00%,33.30%,13453
Rich Hill,Dodgers,P,0.00%,35.80%,0,0.102,0.135,0.122,0.257,0.02,0.8,0.161,5,21.70%,65.20%,13.00%,0.00%,0.00%,0.00%,11.10%,4806
Antonio Senzatela,Rockies,P,0.00%,48.80%,0,0.121,0.121,0.152,0.273,0.03,2.6,0.308,3.5,18.20%,63.60%,18.20%,0.00%,0.00%,14.30%,20.00%,15488
Aaron Nola,Phillies,P,7.80%,50.00%,0.16,0.071,0.148,0.071,0.219,0,1.6,0.167,10,4.30%,87.00%,8.70%,0.00%,0.00%,0.00%,33.30%,16149
Chad Kuhl,Pirates,P,1.80%,30.40%,0.06,0.1,0.118,0.14,0.258,0.04,1.6,0.152,3.33,13.30%,66.70%,20.00%,16.70%,0.00%,5.00%,12.50%,14975
Kenta Maeda,Dodgers,P,0.00%,8.50%,0,0.119,0.119,0.143,0.262,0.024,2,0.132,3,8.60%,68.60%,22.90%,37.50%,0.00%,4.20%,0.00%,18498
Chad Bettis,Rockies,P,4.00%,48.00%,0.08,0.095,0.136,0.095,0.232,0,1.6,0.222,5,14.30%,71.40%,14.30%,0.00%,0.00%,0.00%,20.00%,10587
Jeff Samardzija,Giants,P,0.00%,37.30%,0,0.094,0.094,0.172,0.266,0.078,2,0.132,2.3,15.40%,59.00%,25.60%,20.00%,10.00%,0.00%,0.00%,3254
Matt Harvey,Mets,P,2.50%,35.00%,0.07,0.105,0.128,0.105,0.233,0,2,0.167,3,23.80%,57.10%,19.00%,0.00%,0.00%,0.00%,0.00%,11713
Steven Matz,Mets,P,0.00%,31.00%,0,0.12,0.12,0.12,0.24,0,1.6,0.188,5,25.00%,62.50%,12.50%,0.00%,0.00%,0.00%,0.00%,13361
Tim Adleman,Reds,P,0.00%,31.30%,0,0.103,0.103,0.138,0.241,0.034,0.1,0.158,3.33,18.80%,62.50%,18.80%,0.00%,0.00%,0.00%,0.00%,10968
Jimmy Nelson,Brewers,P,1.70%,58.30%,0.03,0.105,0.121,0.105,0.226,0,0.1,0.273,16,19.00%,76.20%,4.80%,0.00%,0.00%,12.50%,0.00%,10547
Gio Gonzalez,Nationals,P,4.80%,40.50%,0.12,0.08,0.127,0.08,0.207,0,1.4,0.146,1.73,16.70%,52.80%,30.60%,18.20%,0.00%,0.00%,10.00%,7448
Kyle Hendricks,Cubs,P,0.00%,57.90%,0,0.107,0.107,0.125,0.232,0.018,2.6,0.261,2.6,14.30%,61.90%,23.80%,20.00%,0.00%,7.70%,33.30%,12049
Lance Lynn,- - -,P,1.60%,40.30%,0.04,0.073,0.105,0.109,0.214,0.036,2,0.133,2.57,10.70%,64.30%,25.00%,14.30%,0.00%,0.00%,0.00%,2520
Tanner Roark,Nationals,P,1.40%,33.80%,0.04,0.095,0.109,0.111,0.22,0.016,1.3,0.154,3.63,2.60%,76.30%,21.10%,0.00%,0.00%,10.30%,0.00%,8753
Jon Gray,Rockies,P,2.00%,54.90%,0.04,0.067,0.087,0.133,0.22,0.067,2.6,0.125,2.4,0.00%,70.60%,29.40%,40.00%,20.00%,0.00%,0.00%,14916
Matt Garza,Brewers,P,0.00%,35.10%,0,0.086,0.111,0.086,0.197,0,1.6,0.136,17,10.00%,85.00%,5.00%,0.00%,0.00%,0.00%,0.00%,3340
Jeff Hoffman,Rockies,P,0.00%,47.20%,0,0.091,0.091,0.121,0.212,0.03,1.6,0.188,5,14.30%,71.40%,14.30%,0.00%,0.00%,0.00%,20.00%,17432
Jose Urena,Marlins,P,0.00%,52.50%,0,0.094,0.094,0.113,0.208,0.019,2.6,0.238,1.5,28.60%,42.90%,28.60%,0.00%,0.00%,16.70%,0.00%,11589
Chris Stratton,Giants,P,0.00%,33.30%,0,0.1,0.1,0.1,0.2,0,2.6,0.167,11,8.30%,91.70%,0.00%,0.00%,0.00%,0.00%,0.00%,13761
Edwin Jackson,- - -,P,0.00%,71.40%,0,0.095,0.095,0.095,0.19,0,2.6,0.333,1.5,16.70%,50.00%,33.30%,0.00%,0.00%,0.00%,0.00%,1841
Nick Pivetta,Phillies,P,0.00%,42.10%,0,0.094,0.094,0.094,0.189,0,2.6,0.172,3.8,14.30%,67.90%,17.90%,0.00%,0.00%,0.00%,20.00%,15454
Sean Newcomb,Braves,P,7.00%,53.50%,0.13,0.03,0.111,0.03,0.141,0,2.6,0.1,7,0.00%,87.50%,12.50%,0.00%,0.00%,14.30%,0.00%,16943
Dan Straily,Marlins,P,1.60%,51.60%,0.03,0.073,0.089,0.091,0.18,0.018,2,0.182,8.5,9.50%,81.00%,9.50%,0.00%,0.00%,5.90%,0.00%,9460
Trevor Williams,Pirates,P,3.70%,37.00%,0.1,0.063,0.1,0.063,0.163,0,0.8,0.107,3.4,18.50%,63.00%,18.50%,0.00%,0.00%,0.00%,0.00%,16977
Jose Quintana,- - -,P,2.60%,55.30%,0.05,0.069,0.097,0.069,0.166,0,2.6,0.222,5,25.00%,62.50%,12.50%,0.00%,0.00%,0.00%,25.00%,11423
Johnny Cueto,Giants,P,1.70%,27.10%,0.06,0.077,0.093,0.077,0.17,0,2.6,0.108,13,9.70%,83.90%,6.50%,0.00%,0.00%,3.80%,0.00%,6893
Dinelson Lamet,Padres,P,0.00%,57.90%,0,0.086,0.086,0.086,0.171,0,0.1,0.231,1.67,20.00%,50.00%,30.00%,0.00%,0.00%,0.00%,16.70%,17186
Yu Darvish,- - -,P,4.00%,68.00%,0.06,0.048,0.091,0.048,0.139,0,0.1,0.25,1,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%,13074
Rafael Montero,Mets,P,0.00%,35.70%,0,0.08,0.08,0.08,0.16,0,2.6,0.133,5,7.70%,76.90%,15.40%,0.00%,0.00%,0.00%,20.00%,12760
Mark Leiter,Phillies,P,0.00%,46.20%,0,0.08,0.08,0.08,0.16,0,0.1,0.154,12,7.70%,92.30%,0.00%,0.00%,0.00%,0.00%,0.00%,15551
Amir Garrett,Reds,P,0.00%,26.10%,0,0.053,0.053,0.105,0.158,0.053,2.6,0.077,5,25.00%,62.50%,12.50%,0.00%,0.00%,0.00%,11.10%,14375
Alex Wood,Dodgers,P,3.00%,53.00%,0.06,0.05,0.081,0.05,0.131,0,0.8,0.12,8,10.00%,80.00%,10.00%,0.00%,0.00%,0.00%,0.00%,13781
Zack Godley,Diamondbacks,P,3.40%,50.00%,0.07,0.043,0.082,0.043,0.124,0,1.1,0.111,2.75,11.80%,64.70%,23.50%,25.00%,0.00%,9.10%,0.00%,14862
Mike Foltynewicz,Braves,P,0.00%,55.40%,0,0.063,0.063,0.083,0.146,0.021,1.6,0.176,1.75,26.70%,46.70%,26.70%,0.00%,0.00%,14.30%,0.00%,10811
Jeff Locke,Marlins,P,9.10%,81.80%,0.11,0,0.091,0,0.091,0,0.1,0,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2929
Asher Wojciechowski,Reds,P,0.00%,78.60%,0,0.071,0.071,0.071,0.143,0,0.1,0.333,0,33.30%,0.00%,66.70%,0.00%,0.00%,0.00%,0.00%,10836
Sal Romano,Reds,P,2.60%,55.30%,0.05,0.032,0.063,0.065,0.127,0.032,0.1,0.1,7,0.00%,87.50%,12.50%,0.00%,0.00%,0.00%,0.00%,13690
Luke Sims,Braves,P,0.00%,44.40%,0,0.067,0.067,0.067,0.133,0,2.6,0.143,2,0.00%,66.70%,33.30%,0.00%,0.00%,0.00%,0.00%,13470
Tyler Anderson,Rockies,P,2.60%,56.40%,0.05,0.031,0.061,0.031,0.092,0,2.6,0.1,0.75,12.50%,37.50%,50.00%,0.00%,0.00%,0.00%,0.00%,12880
Michael Wacha,Cardinals,P,1.60%,41.00%,0.04,0.038,0.056,0.038,0.094,0,2.6,0.071,3.17,0.00%,76.00%,24.00%,0.00%,0.00%,0.00%,10.00%,14078
Tom Koehler,- - -,P,0.00%,71.40%,0,0.048,0.048,0.048,0.095,0,0.1,0.167,4,33.30%,66.70%,0.00%,0.00%,0.00%,0.00%,0.00%,6570
Robert Stephenson,Reds,P,0.00%,60.00%,0,0.043,0.043,0.043,0.087,0,2.6,0.125,1.33,0.00%,57.10%,42.90%,0.00%,0.00%,0.00%,0.00%,13594
Scott Feldman,Reds,P,0.00%,42.10%,0,0.029,0.029,0.029,0.059,0,0.1,0.056,0.75,17.60%,35.30%,47.10%,12.50%,0.00%,0.00%,20.00%,6283
Ivan Nova,Pirates,P,0.00%,50.00%,0,0.017,0.017,0.017,0.034,0,0.1,0.04,2,12.50%,58.30%,29.20%,14.30%,0.00%,0.00%,10.00%,1994
Bartolo Colon,- - -,P,0.00%,50.00%,0,0,0,0,0,0,0.1,0,4,16.70%,66.70%,16.70%,0.00%,0.00%,0.00%,0.00%,375
Jered Weaver,Padres,P,0.00%,60.00%,0,0,0,0,0,0,0.1,0,2,0.00%,66.70%,33.30%,0.00%,0.00%,0.00%,0.00%,4235
Junior Guerra,Brewers,P,0.00%,20.00%,0,0,0,0,0,0,0.1,0,0.75,6.70%,40.00%,53.30%,37.50%,0.00%,0.00%,0.00%,5702
Justin Nicolino,Marlins,P,0.00%,15.40%,0,0,0,0,0,0,0.1,0,3,0.00%,75.00%,25.00%,0.00%,0.00%,0.00%,0.00%,11754
Luiz Gohara,Braves,P,0.00%,70.00%,0,0,0,0,0,0,0.1,0,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15166
Dillon Peters,Marlins,P,0.00%,56.30%,0,0,0,0,0,0,0.1,0,2,33.30%,66.70%,0.00%,0.00%,0.00%,0.00%,25.00%,18790
